genomeNum,sbid,test1,test2,test3,test4,size
10,41,12,9,5,4,201
10,42,14,7,3,1,105
10,43,11,0,1,0,185
10,44,4,3,4,3,75
10,45,20,6,10,3,167
10,46,6,0,0,0,105
10,47,2,0,0,0,193
10,48,2,2,2,2,71
10,49,8,4,0,0,164
10,50,11,2,4,2,115
10,51,12,3,1,0,120
10,52,0,0,0,0,81
10,53,0,0,0,0,126
10,54,0,0,0,0,156
10,55,2,1,0,0,189
10,56,0,0,0,0,118
10,57,8,0,6,0,126
10,58,4,1,1,0,107
10,59,9,6,3,3,118
10,60,14,12,0,0,74
10,61,4,0,0,0,72
10,62,0,0,0,0,73
10,63,4,1,4,1,146
10,64,10,0,9,0,97
10,65,15,1,15,1,158
10,66,21,1,2,1,178
10,67,5,2,2,1,118
10,68,1,1,0,0,71
10,69,22,10,21,10,141
10,70,10,0,10,0,113
10,71,13,4,3,2,136
10,72,1,0,0,0,155
10,73,9,0,8,0,115
10,74,6,1,6,1,175
10,75,3,1,3,1,78
10,76,3,1,2,0,184
10,77,1,0,0,0,107
10,78,29,11,29,11,84
10,79,20,10,1,0,199
10,80,15,9,8,3,110
10,81,22,19,4,3,140
10,82,15,3,11,3,174
10,83,4,0,4,0,160
10,84,9,6,6,3,192
10,85,9,3,3,0,199
10,86,4,3,4,3,89
10,87,7,3,5,1,186
10,88,6,1,2,1,92
10,89,8,5,3,0,83
10,90,7,2,6,2,114
10,91,6,5,5,5,162
10,92,7,2,5,0,194
10,93,2,0,0,0,90
10,94,0,0,0,0,81
10,95,3,1,1,1,159
10,96,22,5,6,0,122
10,97,3,1,2,0,141
10,98,7,7,2,2,112
10,99,0,0,0,0,198
11,1,4,3,4,3,133
11,2,18,3,17,3,183
11,3,7,7,0,0,184
